Brew_ID,Brewery,abb,City,State,Opening Date
1,Anheuser-Busch,MO,St. Louis,Missouri,1852
2,Anheuser-Busch,NJ,Newark,New Jersey,1951
3,Anheuser-Busch,CA,Los Angeles,California,1954
4,Anheuser-Busch,FL,Tampa,Florida,1959
5,Anheuser-Busch,TX,Houston,Texas,1966
6,Anheuser-Busch,OH,Columbus,Ohio,1968
7,Anheuser-Busch,FL,Jacksonville,Florida,1969
8,Anheuser-Busch,NH,Merrimack,New Hampshire,1970
9,Anheuser-Busch,VI,Williamsburg,Virginia,1972
10,Anheuser-Busch,CA,Fairfield,California,1972
11,Anheuser-Busch,NY,Baldwinsville,New York,1983
12,Anheuser-Busch,CO,Fort Collins,Colorado,1988
,Anheuser-Busch,GE,Cartersville,Georgia,1993
