Rank,State,abb,Gallons_Per_Capita,Gallons_Overall,
1,California,CA,1,"727,300,000",
2,Texas,TX,1.21,"618,100,000",
3,Florida,FL,1.05,"420,100,000",
4,New York,NY,0.88,"321,100,000",
5,Pennsylvania,PA,1.29,"307,900,000",
6,Illinois,IL,1.08,"253,400,000",
7,Ohio,OH,1.1,"237,000,000",
8,North Carolina,NC,1.04,"198,200,000",
9,Michigan,MI,1,"186,200,000",
10,Georgia,GA,0.95,"181,600,000",
11,Virginia,VA,0.94,"148,200,000",
12,Arizona,AZ,1.08,"141,400,000",
13,Wisconsin,WI,1.29,"138,800,000",
14,New Jersey,NJ,0.8,"132,000,000",
15,Washington,WA,0.91,"125,600,000",
16,Missouri,MO,1.11,"124,400,000",
17,Tennessee,TN,0.98,"122,400,000",
18,Colorado,CO,1.14,"119,300,000",
19,Massachusetts,MA,0.91,"118,700,000",
20,Indiana,IN,0.96,"117,000,000",
21,Minnesota,MN,1.14,"116,300,000",
22,South Carolina,SC,1.11,"103,900,000",
23,Louisiana,LA,1.23,"103,700,000",
24,Oregon,OR,1.21,"94,400,000",
25,Alabama,AL,1.04,"93,400,000",
26,Maryland,MD,0.78,"86,700,000",
27,Kentucky,KY,0.93,"76,200,000",
28,Nevada,NV,1.35,"75,200,000",
29,Iowa,IA,1.24,"71,600,000",
30,Oklahoma,OK,1,"71,200,000",
31,Mississippi,MS,1.21,"65,600,000",
32,Connecticut,CT,0.8,"53,500,000",
33,Kansas,KS,0.99,"51,800,000",
34,Arkansas,AR,0.9,"49,300,000",
35,New Hampshire,NH,1.79,"46,300,000",
36,Nebraska,NE,1.22,"42,100,000",
37,New Mexico,NM,1.07,"40,800,000",
38,West Virginia,WV,1.15,"39,100,000",
39,Maine,ME,1.34,"34,100,000",
40,Hawaii,HI,1.28,"33,600,000",
41,Montana,MT,1.6,"31,500,000",
42,Utah,UT,0.58,"31,300,000",
43,Idaho,ID,0.9,"28,100,000",
44,South Dakota,SD,1.37,"21,700,000",
45,North Dakota,ND,1.5,"20,600,000",
46,Delaware,DE,1.11,"20,000,000",
47,Vermont,VT,1.53,"18,300,000",
48,Rhode Island,RI,0.9,"18,100,000",
49,Dist. Of Columb.,DC,1.08,"14,300,000",
50,Alaska,AK,1.06,"14,000,000",
51,Wyoming,WY,1.22,"12,800,000",
